;AHP
Projektni tajnik;0.7317885759253149
Prodajalec velenje;0.8055072964353397
barmen Mons;0.7493912636177726
barmen Coffee shop;0.6997134853171258
barmen Union;0.9018481200352829
barmen Test;0.7751074144948485
barmen in a bar;0.6257966773486985
barmen tea shop;0.6472296879153719
school cook;0.7588494599526898
cook in a resturant;0.6844189724417321
merchant in a food store;0.7162616239122103
merchant in a store with clothes;0.755517833349903
merchant in a pet store;0.6708788447423872
baker;0.7178268673099804
confectioner;0.7058519830084056
hairdresser;0.7178268673099804
beautician;0.8100805536919573
1507;1.000027237273234
New;0.8617482302299898
